"station.name","station_capacity"
"1 Ave & E 15 St",45
"1 Ave & E 18 St",30
"1 Ave & E 30 St",29
"1 Ave & E 44 St",39
"10 Ave & W 28 St",37
"11 Ave & W 27 St",31
"11 Ave & W 41 St",31
"12 Ave & W 40 St",53
"2 Ave & E 31 St",39
"2 Ave & E 58 St",29
"3 Ave & Schermerhorn St",35
"5 Ave & E 29 St",47
"6 Ave & Broome St",36
"6 Ave & Canal St",47
"6 Ave & W 33 St",36
"7 Ave & Farragut St",15
"8 Ave & W 31 St",67
"8 Ave & W 33 St",59
"8 Ave & W 52 St",31
"9 Ave & W 14 St",39
"9 Ave & W 16 St",25
"9 Ave & W 18 St",27
"9 Ave & W 22 St",36
"9 Ave & W 45 St",31
"Adelphi St & Myrtle Ave",23
"Allen St & E Houston St",36
"Allen St & Hester St",43
"Allen St & Rivington St",42
"Ashland Pl & Hanson Pl",39
"Atlantic Ave & Fort Greene Pl",62
"Atlantic Ave & Furman St",31
"Avenue D & E 12 St",24
"Avenue D & E 3 St",23
"Avenue D & E 8 St",24
"Bank St & Hudson St",27
"Bank St & Washington St",31
"Barclay St & Church St",47
"Barrow St & Hudson St",31
"Bayard St & Baxter St",43
"Bedford Ave & S 9th St",23
"Bialystoker Pl & Delancey St",23
"Bond St & Schermerhorn St",30
"Broad St & Bridge St",35
"Broadway & Battery Pl",36
"Broadway & Berry St",27
"Broadway & E 14 St",47
"Broadway & E 22 St",42
"Broadway & W 24 St",52
"Broadway & W 29 St",39
"Broadway & W 32 St",30
"Broadway & W 36 St",57
"Broadway & W 37 St",57
"Broadway & W 39 St",50
"Broadway & W 41 St",39
"Broadway & W 49 St",51
"Broadway & W 51 St",52
"Broadway & W 53 St",57
"Broadway & W 55 St",59
"Broadway & W 58 St",59
"Broadway & W 60 St",36
"Cadman Plaza E & Red Cross Pl",27
"Cadman Plaza E & Tillary St",23
"Canal St & Rutgers St",31
"Carlton Ave & Park Ave",23
"Carmine St & 6 Ave",39
"Catherine St & Monroe St",35
"Central Park S & 6 Ave",49
"Centre St & Chambers St",39
"Centre St & Worth St",43
"Cherry St",24
"Christopher St & Greenwich St",36
